time,velocity
0.01001,21.9882837961
0.02001,20.9083589033
0.03001,19.8293650701
0.04001,18.7517980476
0.05001,17.6761541933
0.06001,16.6029297799
0.07001,15.5326203164
0.08001,14.465719879
0.09001,13.4027204552
0.10001,12.344111299
0.11001,11.290378299
0.12001,10.2420033585
0.13001,9.1994637881
0.14001,8.16323171164
0.15001,7.13377348464
0.16001,6.11154912623
0.17001,5.09701176433
0.18001,4.0906070946
0.19001,3.09277285313
0.20001,2.10393830343
0.21001,1.12452373761
0.22001,0.154939992497
0.23001,0.804412019446
0.24001,1.75314176369
0.25001,2.69086952161
0.26001,3.61722681234
0.27001,4.53185679818
0.28001,5.43441467309
0.29001,6.32456803399
0.30001,7.20199723421
0.31001,8.06639571891
0.32001,8.91747034175
0.33001,9.75494166255
0.34001,10.5785442254
0.35001,11.3880268169
0.36001,12.1831527035
0.37001,12.9636998486
0.38001,13.7294611077
0.39001,14.480244402
0.40001,15.21587287
0.41001,15.9361849962
0.42001,16.641034717
0.43001,17.3302915036
0.44001,18.0038404206
0.45001,18.6615821615
0.46001,19.30343306
0.47001,19.9293250766
0.48001,20.5392057615
0.49001,21.1330381926
0.50001,21.7108008892
0.51001,22.2724877012
0.52001,22.8181076741
0.53001,23.34768489
0.54001,23.8612582842
0.55001,24.3588814382
0.56001,24.8406223506
0.57001,25.3065631832
0.58001,25.7567999866
0.59001,26.1914424028
0.60001,26.6106133478
0.61001,27.0144486728
0.62001,27.4030968066
0.63001,27.7767183791
0.64001,28.1354858268
0.65001,28.479582982
0.66001,28.8092046456
0.67001,29.1245561461
0.68001,29.4258528845
0.69001,29.7133198671
0.70001,29.9871912276
0.710010000000001,30.247709739
0.72001,30.4951263177
0.730010000000001,30.7296995196
0.74001,30.9516950317
0.750010000000001,31.1613851584
0.760010000000001,31.3590483054
0.770010000000001,31.5449684613
0.780010000000001,31.7194346813
0.79001,31.882740563
0.800010000000001,32.0351837529
0.810010000000001,32.1770653996
0.82001,32.3086896854
0.830010000000001,32.4303633054
0.840010000000001,32.5423949809
0.850010000000001,32.645094977
0.860010000000001,32.738774629
0.870010000000001,32.8237458786
0.880010000000001,32.900320824
0.890010000000001,32.9688112803
0.900010000000001,33.0295283548
0.910010000000001,33.0827820359
0.920010000000001,33.1288807966
0.930010000000001,33.1681312132
0.940010000000001,33.2008376003
0.950010000000001,33.2273016619
0.960010000000001,33.2478221585
0.970010000000001,33.2626945914
0.980010000000001,33.2722109044
0.990010000000001,33.2766592014
1.00001,33.2763234821
1.01001,33.2714833944
1.02001,33.2624140029
1.03001,33.2493855747
1.04001,33.2326633818
1.05001,33.2125075181
1.06001,33.189172733
1.07001,33.16290828
1.08001,33.1339577788
1.09001,33.102559092
1.10001,33.0689442151
1.11001,33.0333391781
1.12001,32.9959639598
1.13001,32.9570324118
1.14001,32.9167521944
1.15001,32.8753247195
1.16001,32.8329451032
1.17001,32.7898021259
1.18001,32.7460781975
1.19001,32.7019493289
1.20001,32.657585108
1.21001,32.6131486782
1.22001,32.5687967195
1.23001,32.5246794311
1.24001,32.4809405127
1.25001,32.4377171461
1.26001,32.3951399733
1.27001,32.3533330712
1.28001,32.3124139216
1.29001,32.2724933748
1.30001,32.2336756058
1.31001,32.1960580615
1.32001,32.1597313976
1.33001,32.1247794036
1.34001,32.0912789146
1.35001,32.0592997085
1.36001,32.0289043859
1.37001,32.0001482326
